date,GALI2,DESAWAR2,FARIDABAD2,GHAZIABAD2,LUXMI KUBER
2015-05-17,66,37,61,02,95
2015-05-18,49,36,10,08,74
2015-05-19,75,15,52,60,54
2015-05-20,17,62,15,46,74
2015-05-21,09,80,71,03,51
2015-05-22,54,12,66,06,46
2015-05-23,03,46,31,69,28
2015-05-24,57,69,66,82,17
2015-05-25,99,18,31,72,65
2015-05-26,09,78,40,77,63
2015-05-27,53,45,71,20,11
2015-05-28,46,27,66,96,96
2015-05-29,68,44,66,61,06
2015-05-30,12,57,24,35,14
2015-05-31,90,12,34,62,19
2015-06-01,67,59,13,99,80
2015-06-02,00,64,49,79,20
2015-06-03,86,96,86,01,87
2015-06-04,42,49,46,42,54
2015-06-05,20,50,84,31,76
2015-06-06,63,96,74,37,08
2015-06-07,31,46,47,28,49
2015-06-08,47,14,50,06,48
2015-06-09,14,96,54,99,76
2015-06-10,29,35,32,32,59
2015-06-11,27,36,64,55,67
2015-06-12,92,26,26,04,32
2015-06-13,81,94,25,81,70
2015-06-14,33,40,06,88,01
2015-06-15,15,52,16,10,87
2015-06-16,67,52,09,73,92
2015-06-17,33,12,85,04,14
2015-06-18,99,32,00,97,87
2015-06-19,82,42,07,38,68
2015-06-20,57,33,84,48,96
2015-06-21,10,32,53,03,34
2015-06-22,44,05,19,82,98
2015-06-23,78,29,87,40,82
2015-06-24,61,41,15,00,43
2015-06-25,47,90,81,19,14
2015-06-26,11,67,47,69,37
2015-06-27,80,31,04,87,55
2015-06-28,56,53,57,01,20
2015-06-29,08,30,45,34,58
2015-06-30,91,95,12,90,00
2015-07-01,06,49,61,37,92
2015-07-02,56,12,06,09,92
2015-07-03,11,73,89,15,33
2015-07-04,16,51,41,75,64
2015-07-05,16,10,23,96,97
2015-07-06,35,16,82,25,22
2015-07-07,94,38,77,29,64
2015-07-08,60,53,24,65,13
2015-07-09,97,48,42,65,80
2015-07-10,55,65,00,22,38
2015-07-11,64,52,39,38,81
2015-07-12,55,20,01,15,64
2015-07-13,61,09,36,12,77
2015-07-14,55,68,51,55,25
2015-07-15,65,92,07,21,19
2015-07-16,52,01,25,71,47
2015-07-17,65,96,66,91,97
2015-07-18,46,97,55,43,20
2015-07-19,83,56,92,61,69
2015-07-20,50,04,33,92,99
2015-07-21,94,74,11,95,67
2015-07-22,23,42,29,90,00
2015-07-23,18,47,03,56,76
2015-07-24,33,67,46,99,41
2015-07-25,79,88,99,91,62
2015-07-26,15,26,73,91,02
2015-07-27,29,39,64,12,14
2015-07-28,62,43,76,88,46
2015-07-29,34,70,70,66,39
2015-07-30,58,98,37,06,30
2015-07-31,03,10,06,12,07
2015-08-01,87,93,19,06,30
2015-08-02,44,75,04,61,72
2015-08-03,66,63,44,88,10
2015-08-04,73,63,75,60,10
2015-08-05,70,97,58,93,93
2015-08-06,49,22,82,26,62
2015-08-07,39,87,42,16,08
2015-08-08,17,03,03,78,97
2015-08-09,00,40,73,25,68
2015-08-10,24,08,06,32,98
2015-08-11,20,44,14,28,16
2015-08-12,46,07,74,12,16
2015-08-13,48,79,32,33,84
2015-08-14,70,65,95,75,60
2015-08-15,37,96,96,18,70
2015-08-16,86,65,54,73,21
2015-08-17,34,28,32,51,33
2015-08-18,81,83,92,08,67
2015-08-19,91,23,01,37,77
2015-08-20,90,84,78,37,54
2015-08-21,68,03,48,35,27
2015-08-22,36,38,86,69,69
2015-08-23,06,03,36,43,96
2015-08-24,01,17,99,11,93
2015-08-25,70,27,42,24,88
2015-08-26,87,51,04,22,25
2015-08-27,39,13,53,93,91
2015-08-28,38,54,56,75,39
2015-08-29,10,76,04,29,51
2015-08-30,71,17,72,76,85
2015-08-31,75,61,41,04,83
2015-09-01,67,02,87,06,47
2015-09-02,39,02,56,58,56
2015-09-03,40,06,64,18,66
2015-09-04,22,02,57,27,57
2015-09-05,63,63,06,13,15
2015-09-06,41,80,75,63,31
2015-09-07,27,78,12,35,28
2015-09-08,64,91,25,56,08
2015-09-09,24,85,83,05,43
2015-09-10,40,97,51,12,02
2015-09-11,25,12,84,72,75
2015-09-12,05,70,04,87,70
2015-09-13,17,81,86,23,29
2015-09-14,88,27,88,50,75
2015-09-15,11,99,14,52,28
2015-09-16,66,15,81,75,00
2015-09-17,41,75,68,80,09
2015-09-18,01,25,08,10,90
2015-09-19,02,52,76,56,80
2015-09-20,13,88,64,29,07
2015-09-21,53,33,27,95,29
2015-09-22,02,43,11,51,08
2015-09-23,93,58,20,80,04
2015-09-24,32,85,59,46,42
2015-09-25,92,60,59,01,09
2015-09-26,50,79,36,61,65
2015-09-27,30,89,24,26,30
2015-09-28,98,36,91,67,35
2015-09-29,37,36,15,13,85
2015-09-30,14,64,13,82,62
2015-10-01,50,01,42,82,27
2015-10-02,73,05,33,72,69
2015-10-03,80,81,95,02,16
2015-10-04,31,96,15,63,92
2015-10-05,57,63,39,72,73
2015-10-06,54,62,15,24,73
2015-10-07,25,88,48,43,60
2015-10-08,05,99,28,71,31
2015-10-09,07,22,27,79,60
2015-10-10,95,14,76,23,52
2015-10-11,74,64,95,53,24
2015-10-12,35,11,39,31,12
2015-10-13,07,17,49,96,12
2015-10-14,05,74,52,90,84
2015-10-15,64,82,08,60,55
2015-10-16,13,64,52,97,45
2015-10-17,03,20,49,41,54
2015-10-18,72,37,41,29,52
2015-10-19,93,75,96,11,59
2015-10-20,24,67,83,72,93
2015-10-21,54,76,80,45,06
2015-10-22,70,37,90,33,86
2015-10-23,96,44,50,40,83
2015-10-24,58,74,05,24,82
2015-10-25,54,85,04,56,12
2015-10-26,51,46,07,12,07
2015-10-27,20,42,13,98,51
2015-10-28,40,05,84,69,93
2015-10-29,28,74,37,83,43
2015-10-30,33,15,00,07,13
2015-10-31,73,95,52,46,31
2015-11-01,72,45,70,53,24
2015-11-02,21,85,38,65,24
2015-11-03,91,60,47,79,68
2015-11-04,25,71,46,46,57
2015-11-05,27,72,57,05,17
2015-11-06,45,16,14,37,54
2015-11-07,12,53,52,18,23
2015-11-08,52,97,59,14,35
2015-11-09,75,91,08,28,59
2015-11-10,73,91,20,92,31
2015-11-11,23,51,03,11,09
2015-11-12,21,89,20,70,56
2015-11-13,14,71,74,66,70
2015-11-14,04,06,02,68,12
2015-11-15,85,71,07,04,06
2015-11-16,82,76,36,47,83
2015-11-17,31,60,16,75,69
2015-11-18,42,04,36,57,01
2015-11-19,76,42,22,20,11
2015-11-20,23,45,03,86,96
2015-11-21,82,09,00,76,30
2015-11-22,04,97,10,95,21
2015-11-23,36,21,67,89,52
2015-11-24,33,57,06,82,62
2015-11-25,81,51,28,08,61
2015-11-26,55,08,98,48,27
2015-11-27,86,55,23,24,51
2015-11-28,72,53,97,26,07
2015-11-29,78,38,91,36,21
2015-11-30,14,16,52,05,48
2015-12-01,75,36,31,20,00
2015-12-02,09,38,18,80,49
2015-12-03,19,73,49,68,33
2015-12-04,25,70,24,58,58
2015-12-05,39,10,43,19,36
2015-12-06,11,82,06,84,54
2015-12-07,16,35,82,09,89
2015-12-08,96,06,34,30,93
2015-12-09,73,29,10,46,71
2015-12-10,84,79,72,41,84
2015-12-11,31,60,66,06,91
2015-12-12,28,39,33,49,62
2015-12-13,24,24,27,77,19
2015-12-14,58,11,69,77,24
2015-12-15,31,67,44,04,37
2015-12-16,99,56,07,86,27
2015-12-17,27,99,15,37,07
2015-12-18,00,75,62,22,74
2015-12-19,32,47,37,41,94
2015-12-20,26,56,48,65,69
2015-12-21,48,53,61,23,07
2015-12-22,74,77,30,97,95
2015-12-23,49,47,94,13,40
2015-12-24,92,86,63,68,07
2015-12-25,48,07,12,97,06
2015-12-26,59,84,11,44,74
2015-12-27,07,55,55,01,61
2015-12-28,45,18,43,74,64
2015-12-29,87,31,06,46,67
2015-12-30,78,76,03,49,20
2015-12-31,44,94,34,32,07
2016-01-01,23,96,23,90,65
2016-01-02,73,20,87,09,10
2016-01-03,57,12,19,89,23
2016-01-04,36,41,47,02,08
2016-01-05,39,34,03,79,76
2016-01-06,65,99,82,12,08
2016-01-07,31,37,83,27,86
2016-01-08,97,43,33,50,30
2016-01-09,02,33,60,16,51
2016-01-10,34,96,37,44,15
2016-01-11,37,63,73,32,72
2016-01-12,59,91,23,91,31
2016-01-13,11,50,34,99,74
2016-01-14,55,40,86,94,76
2016-01-15,39,73,62,19,05
2016-01-16,05,96,86,07,79
2016-01-17,12,25,86,45,10
2016-01-18,88,35,33,49,53
2016-01-19,66,86,87,48,84
2016-01-20,84,88,70,38,74
2016-01-21,46,11,37,21,72
2016-01-22,58,50,65,24,66
2016-01-23,17,69,91,06,40
2016-01-24,73,66,59,98,33
2016-01-25,26,67,18,07,26
2016-01-26,12,31,16,24,85
2016-01-27,52,30,32,28,91
2016-01-28,97,85,30,63,40
2016-01-29,79,68,69,57,30
2016-01-30,86,08,06,30,33
2016-01-31,88,49,09,37,50
2016-02-01,26,81,47,32,16
2016-02-02,10,84,62,85,85
2016-02-03,70,72,28,34,82
2016-02-04,90,78,18,15,38
2016-02-05,70,22,19,85,58
2016-02-06,10,00,89,48,40
2016-02-07,14,54,92,80,96
2016-02-08,35,39,82,31,09
2016-02-09,99,65,09,69,01
2016-02-10,25,57,16,30,58
2016-02-11,13,88,11,09,79
2016-02-12,53,26,66,25,72
2016-02-13,07,72,42,99,12
2016-02-14,21,19,86,30,09
2016-02-15,05,70,11,00,68
2016-02-16,00,13,21,96,27
2016-02-17,04,22,40,50,64
2016-02-18,68,01,91,03,33
2016-02-19,17,92,61,49,16
2016-02-20,62,43,98,05,44
2016-02-21,74,13,12,27,08
2016-02-22,38,66,68,95,31
2016-02-23,70,78,17,32,47
2016-02-24,08,90,59,30,36
2016-02-25,79,03,31,63,20
2016-02-26,30,55,74,39,56
2016-02-27,85,73,37,57,69
2016-02-28,50,38,11,39,90
2016-02-29,11,60,54,55,38
2016-03-01,60,64,39,06,78
2016-03-02,61,66,23,91,83
2016-03-03,89,31,06,92,67
2016-03-04,24,68,86,15,01
2016-03-05,18,95,75,49,85
2016-03-06,05,36,86,81,70
2016-03-07,67,52,08,53,38
2016-03-08,29,47,31,67,84
2016-03-09,96,99,86,25,13
2016-03-10,09,45,10,94,17
2016-03-11,61,29,70,66,33
2016-03-12,40,46,24,56,14
2016-03-13,63,75,06,00,13
2016-03-14,15,97,93,35,95
2016-03-15,52,69,63,67,70
2016-03-16,53,10,22,90,19
2016-03-17,66,30,67,40,34
2016-03-18,69,26,00,63,36
2016-03-19,75,16,98,85,77
2016-03-20,03,78,91,78,26
2016-03-21,71,95,64,93,91
2016-03-22,55,57,35,62,43
2016-03-23,55,84,78,86,26
2016-03-24,59,48,98,01,87
2016-03-25,66,68,98,74,81
2016-03-26,83,19,05,43,33
2016-03-27,94,10,24,76,64
2016-03-28,60,99,23,67,62
2016-03-29,95,11,99,82,32
2016-03-30,18,88,29,59,06
2016-03-31,37,61,14,36,11
2016-04-01,47,86,06,19,81
2016-04-02,40,24,18,60,54
2016-04-03,93,19,17,82,35
2016-04-04,43,20,24,84,05
2016-04-05,42,52,94,26,00
2016-04-06,63,31,84,56,42
2016-04-07,21,61,34,53,98
2016-04-08,08,33,14,22,16
2016-04-09,47,41,29,83,81
2016-04-10,43,98,07,58,33
2016-04-11,95,91,94,30,20
2016-04-12,01,96,62,60,94
2016-04-13,35,54,51,07,56
2016-04-14,81,70,57,46,70
2016-04-15,46,64,24,27,90
2016-04-16,10,84,59,02,54
2016-04-17,54,85,22,12,71
2016-04-18,58,48,78,28,01
2016-04-19,82,92,57,77,14
2016-04-20,70,90,15,80,09
2016-04-21,23,27,07,26,88
2016-04-22,48,48,22,13,19
2016-04-23,27,34,26,98,69
2016-04-24,87,29,38,22,04
2016-04-25,42,06,30,30,47
2016-04-26,64,19,37,89,74
2016-04-27,49,31,86,97,70
2016-04-28,38,16,39,58,18
2016-04-29,56,73,52,84,55
2016-04-30,15,17,19,00,16
2016-05-01,06,33,28,59,05
2016-05-02,35,35,29,65,39
2016-05-03,13,58,27,29,46
2016-05-04,10,61,99,77,05
2016-05-05,85,10,37,97,45
2016-05-06,22,77,08,44,26
2016-05-07,99,53,35,29,87
2016-05-08,13,02,00,83,31
2016-05-09,93,28,49,78,85
2016-05-10,90,33,72,10,13
2016-05-11,11,92,86,24,45
2016-05-12,98,99,49,08,99
2016-05-13,17,04,05,94,71
2016-05-14,53,03,98,11,52
2016-05-15,36,24,76,54,79
2016-05-16,41,63,16,27,95
2016-05-17,80,86,10,92,19
2016-05-18,45,66,27,67,30
2016-05-19,73,06,44,20,20
2016-05-20,33,33,85,45,22
2016-05-21,75,26,16,66,52
2016-05-22,01,83,82,52,03
2016-05-23,77,31,14,81,22
2016-05-24,80,05,09,76,94
2016-05-25,56,81,63,59,42
2016-05-26,63,88,72,39,52
2016-05-27,18,47,46,82,85
2016-05-28,91,75,01,80,94
2016-05-29,51,11,60,31,31
2016-05-30,09,24,82,86,34
2016-05-31,76,50,51,71,20
2016-06-01,17,71,07,43,89
2016-06-02,74,54,23,30,13
2016-06-03,27,93,48,19,48
2016-06-04,54,96,45,80,04
2016-06-05,28,09,29,83,60
2016-06-06,06,56,15,02,28
2016-06-07,09,62,17,55,25
2016-06-08,62,26,68,82,58
2016-06-09,64,43,93,78,44
2016-06-10,59,83,23,46,39
2016-06-11,95,41,80,00,29
2016-06-12,67,96,38,88,28
2016-06-13,22,72,46,55,03
2016-06-14,07,47,45,86,84
2016-06-15,64,98,89,35,24
2016-06-16,84,76,25,92,51
2016-06-17,44,96,53,51,42
2016-06-18,54,32,18,57,35
2016-06-19,40,23,51,86,08
2016-06-20,12,05,46,94,98
2016-06-21,43,00,54,23,35
2016-06-22,37,08,35,55,44
2016-06-23,46,60,45,02,82
2016-06-24,41,24,50,65,65
2016-06-25,30,49,14,93,51
2016-06-26,92,33,87,02,86
2016-06-27,00,29,93,35,68
2016-06-28,88,78,79,95,42
2016-06-29,16,53,64,23,03
2016-06-30,03,65,32,53,14
2016-07-01,02,20,98,10,33
2016-07-02,91,31,61,20,22
2016-07-03,60,98,92,78,74
2016-07-04,01,68,63,82,33
2016-07-05,07,29,60,14,04
2016-07-06,25,66,89,74,13
2016-07-07,94,37,23,45,76
2016-07-08,86,74,58,59,55
2016-07-09,33,97,22,53,44
2016-07-10,76,20,57,23,93
2016-07-11,83,34,14,48,40
2016-07-12,14,80,10,23,55
2016-07-13,20,82,67,83,77
2016-07-14,08,79,47,84,65
2016-07-15,20,44,48,75,14
2016-07-16,20,53,83,17,49
2016-07-17,57,15,13,31,73
2016-07-18,34,96,33,64,24
2016-07-19,61,60,01,63,32
2016-07-20,87,18,35,23,05
2016-07-21,08,10,86,75,90
2016-07-22,79,08,30,73,55
2016-07-23,25,42,21,84,00
2016-07-24,85,47,25,64,66
2016-07-25,81,21,26,34,68
2016-07-26,61,61,48,70,87
2016-07-27,72,01,09,87,92
2016-07-28,21,35,48,74,94
2016-07-29,62,25,00,86,94
2016-07-30,93,40,93,68,85
2016-07-31,89,55,85,13,25
2016-08-01,52,39,93,19,46
2016-08-02,37,01,43,46,55
2016-08-03,32,48,57,24,08
2016-08-04,75,28,03,37,85
2016-08-05,45,56,88,80,42
2016-08-06,89,91,35,03,79
2016-08-07,06,08,70,20,40
2016-08-08,49,62,23,44,84
2016-08-09,44,45,81,93,15
2016-08-10,23,33,09,96,92
2016-08-11,19,70,26,66,38
2016-08-12,94,65,86,99,64
2016-08-13,76,34,87,33,39
2016-08-14,80,89,61,82,85
2016-08-15,24,80,45,98,52
2016-08-16,34,80,92,57,41
2016-08-17,71,50,30,45,51
2016-08-18,65,95,87,61,89
2016-08-19,84,82,34,96,37
2016-08-20,91,34,51,05,70
2016-08-21,29,13,76,56,16
2016-08-22,67,22,95,52,24
2016-08-23,22,38,77,67,53
2016-08-24,20,92,93,84,85
2016-08-25,63,81,37,25,48
2016-08-26,41,17,32,16,86
2016-08-27,02,58,63,14,95
2016-08-28,15,33,00,13,22
2016-08-29,14,29,49,72,78
2016-08-30,95,87,06,35,72
2016-08-31,65,32,46,31,38
2016-09-01,04,29,73,25,51
2016-09-02,56,39,83,34,70
2016-09-03,77,03,57,97,00
2016-09-04,00,87,31,99,38
2016-09-05,16,64,19,67,36
2016-09-06,06,48,76,70,26
2016-09-07,41,20,34,72,55
2016-09-08,32,54,04,25,74
2016-09-09,19,53,03,89,77
2016-09-10,57,75,48,83,83
2016-09-11,44,61,71,80,41
2016-09-12,64,29,08,94,59
2016-09-13,34,01,47,86,56
2016-09-14,97,57,63,94,56
2016-09-15,50,73,77,45,86
2016-09-16,78,30,51,67,27
2016-09-17,22,28,76,66,65
2016-09-18,33,27,47,76,60
2016-09-19,90,70,12,95,94
2016-09-20,50,87,62,07,21
2016-09-21,13,80,29,87,84
2016-09-22,68,13,36,70,10
2016-09-23,03,24,73,71,36
2016-09-24,30,80,72,12,65
2016-09-25,03,59,57,34,84
2016-09-26,42,55,34,89,81
2016-09-27,47,78,97,41,79
2016-09-28,83,98,64,79,42
2016-09-29,38,99,88,32,11
2016-09-30,51,89,23,78,96
2016-10-01,53,76,87,84,30
2016-10-02,54,86,94,59,86
2016-10-03,68,66,73,73,39
2016-10-04,45,10,98,39,28
2016-10-05,98,50,88,50,25
2016-10-06,24,05,05,61,18
2016-10-07,27,77,83,78,03
2016-10-08,42,80,05,06,05
2016-10-09,36,64,79,70,31
2016-10-10,76,76,72,35,60
2016-10-11,45,85,23,15,78
2016-10-12,11,78,25,55,98
2016-10-13,88,35,46,09,09
2016-10-14,84,00,73,55,58
2016-10-15,41,08,12,91,53
2016-10-16,12,38,16,18,80
2016-10-17,59,48,49,70,73
2016-10-18,75,35,77,25,24
2016-10-19,46,28,04,72,91
2016-10-20,70,98,90,82,89
2016-10-21,25,49,90,86,49
2016-10-22,73,73,01,30,63
2016-10-23,22,72,87,47,51
2016-10-24,09,22,77,28,31
2016-10-25,04,48,40,81,18
2016-10-26,68,64,23,84,83
2016-10-27,42,83,55,52,88
2016-10-28,59,30,31,63,00
2016-10-29,13,40,65,99,96
2016-10-30,67,60,27,20,98
2016-10-31,18,41,42,07,13
2016-11-01,23,97,79,07,99
2016-11-02,15,98,81,97,54
2016-11-03,39,55,44,86,28
2016-11-04,54,98,77,22,22
2016-11-05,87,35,52,16,89
2016-11-06,64,16,85,59,66
2016-11-07,96,29,02,33,59
2016-11-08,39,09,16,23,06
2016-11-09,57,20,94,16,71
2016-11-10,34,86,81,97,31
2016-11-11,74,60,76,06,15
2016-11-12,07,11,20,11,58
2016-11-13,21,15,89,25,17
2016-11-14,86,17,69,03,59
2016-11-15,41,10,47,22,85
2016-11-16,37,77,18,26,67
2016-11-17,07,32,77,66,71
2016-11-18,19,03,41,05,76
2016-11-19,17,27,66,26,40
2016-11-20,50,65,84,22,96
2016-11-21,31,73,48,59,56
2016-11-22,52,60,96,09,78
2016-11-23,51,89,86,47,92
2016-11-24,05,55,94,85,64
2016-11-25,45,81,99,13,54
2016-11-26,97,83,44,37,70
2016-11-27,08,16,28,07,57
2016-11-28,24,51,01,00,20
2016-11-29,83,68,66,82,95
2016-11-30,40,66,23,76,60
2016-12-01,44,01,84,65,57
2016-12-02,17,23,34,12,33
2016-12-03,19,76,19,47,96
2016-12-04,27,68,65,27,31
2016-12-05,72,17,02,38,81
2016-12-06,32,78,08,60,35
2016-12-07,61,34,85,23,98
2016-12-08,69,28,22,54,99
2016-12-09,04,12,70,28,66
2016-12-10,67,42,22,12,62
2016-12-11,19,38,31,78,80
2016-12-12,03,12,39,13,30
2016-12-13,80,28,28,88,35
2016-12-14,75,00,51,91,56
2016-12-15,78,45,25,07,09
2016-12-16,91,33,77,34,91
2016-12-17,00,55,10,66,36
2016-12-18,36,38,57,97,30
2016-12-19,70,19,94,00,34
2016-12-20,11,58,14,21,42
2016-12-21,45,82,28,94,40
2016-12-22,81,37,69,00,69
2016-12-23,57,38,95,84,10
2016-12-24,81,54,54,11,17
2016-12-25,07,66,71,94,19
2016-12-26,33,86,64,13,29
2016-12-27,04,43,71,07,49
2016-12-28,98,04,88,56,88
2016-12-29,97,02,84,67,19
2016-12-30,20,83,30,99,90
2016-12-31,73,94,16,46,27
2017-01-01,63,61,99,12,08
2017-01-02,64,55,07,71,53
2017-01-03,76,52,47,75,52
2017-01-04,56,41,68,24,42
2017-01-05,64,46,30,60,69
2017-01-06,41,96,72,87,59
2017-01-07,62,48,46,53,53
2017-01-08,18,87,47,17,07
2017-01-09,78,81,71,68,26
2017-01-10,87,92,83,06,53
2017-01-11,11,46,81,06,49
2017-01-12,74,48,44,45,98
2017-01-13,88,49,19,01,74
2017-01-14,59,12,38,60,89
2017-01-15,64,18,21,30,02
2017-01-16,06,89,27,01,97
2017-01-17,24,57,17,71,73
2017-01-18,36,36,29,97,48
2017-01-19,85,77,05,02,61
2017-01-20,71,99,61,92,00
2017-01-21,66,87,55,30,45
2017-01-22,32,52,86,33,38
2017-01-23,68,93,02,96,96
2017-01-24,45,36,07,15,49
2017-01-25,99,12,68,03,53
2017-01-26,60,68,51,15,68
2017-01-27,92,97,23,31,95
2017-01-28,99,34,77,38,94
2017-01-29,49,28,72,68,69
2017-01-30,95,63,82,05,77
2017-01-31,10,16,87,73,28
2017-02-01,80,10,77,62,62
2017-02-02,41,74,09,11,28
2017-02-03,49,06,09,75,34
2017-02-04,65,57,52,21,55
2017-02-05,48,84,00,34,62
2017-02-06,32,92,16,68,03
2017-02-07,26,78,15,30,49
2017-02-08,08,57,79,10,43
2017-02-09,60,61,92,46,85
2017-02-10,83,54,00,18,86
2017-02-11,28,48,32,47,51
2017-02-12,35,71,65,50,92
2017-02-13,25,14,61,46,21
2017-02-14,84,89,00,61,59
2017-02-15,63,70,38,34,16
2017-02-16,80,90,48,50,79
2017-02-17,33,96,29,15,68
2017-02-18,27,47,29,41,03
2017-02-19,85,92,90,94,50
2017-02-20,23,67,83,84,75
2017-02-21,63,06,15,20,72
2017-02-22,55,08,55,12,84
2017-02-23,30,22,52,74,03
2017-02-24,06,81,47,98,10
2017-02-25,02,32,81,61,82
2017-02-26,84,87,89,77,54
2017-02-27,89,33,45,37,17
2017-02-28,47,19,53,97,59
2017-03-01,55,53,12,29,23
2017-03-02,95,29,83,35,06
2017-03-03,24,41,55,27,33
2017-03-04,43,90,70,53,48
2017-03-05,22,26,88,44,41
2017-03-06,87,87,26,16,27
2017-03-07,61,14,61,88,58
2017-03-08,97,70,96,45,41
2017-03-09,33,42,79,68,43
2017-03-10,88,21,11,44,97
2017-03-11,38,02,81,09,48
2017-03-12,85,53,95,09,35
2017-03-13,09,77,93,98,96
2017-03-14,09,51,74,26,53
2017-03-15,50,65,76,93,32
2017-03-16,08,31,06,55,10
2017-03-17,91,77,78,88,60
2017-03-18,63,20,48,57,02
2017-03-19,10,64,51,86,95
2017-03-20,72,06,82,27,69
2017-03-21,44,10,52,72,06
2017-03-22,55,35,56,25,44
2017-03-23,61,71,14,67,28
2017-03-24,92,03,16,96,83
2017-03-25,00,41,89,60,08
2017-03-26,03,63,54,39,99
2017-03-27,21,94,50,30,83
2017-03-28,01,87,89,92,05
